chain,city,location_page_url,offers_aba,offers_autism_eval,offers_any_autism_service,serves_children,evidence_location,confidence,notes
LifeStance,Maitland,https://lifestance.com/location/maitland-fl-260-lookout-place/,UNSTATED,UNSTATED,UNSTATED,Y,location page; footer,HIGH,"ABA/applied behavior analysis: not found anywhere on the page. The ONLY autism string is the site-wide nav/footer services menu link 'Autism Testing and Evaluation' — that global menu appears on every LifeStance page and is NOT location-level evidence, so all three autism answers are UNSTATED. The location's own fully-enumerated 'Mental Health Conditions We Treat' list (ADHD, Alcohol use, Anger issues, Anxiety, Attachment issues, Attention & focus, Bipolar Disorder ... Social skills & communication, Stress management, Trauma & PTSD, Unusual thoughts or beliefs, Video game/internet) contains NO autism entry, unlike sibling pages Brandon and Lakeland which list 'Autism' — suggestive of absence but not an affirmative denial, so UNSTATED rather than N. Its own 24-item services list names testing only generically ('Neuropsychological Testing', 'Psychological Testing and Evaluation'). serves_children = Y from location body: 'Ages Served: Adolescents / Teens, Adults, Seniors / Geriatrics', 'comprehensive behavioral health care for children, adolescents, adults, and new parents', plus 'Child and Adolescent Psychiatry' and 'Child and Adolescent Therapy' in its own list. No clinician cards with specialty tags (providers named only in patient reviews)."
LifeStance,Miami,https://lifestance.com/location/miami-fl-9408/,UNSTATED,UNSTATED,UNSTATED,Y,location page; footer,HIGH,"ABA/applied behavior analysis: does not appear anywhere on this page. The ONLY autism string is the site-wide nav/footer services menu link 'Autism Testing and Evaluation' (to /services/autism-testing-evaluation/) — the global menu carried on every LifeStance page, NOT location-level evidence, so all three autism answers are UNSTATED. The location's own fully-enumerated 'Mental Health Conditions We Treat' list (ADHD, Alcohol use, Anger issues, Anxiety, Attention & focus, Bipolar Disorder, Depression/feeling down ... Social skills & communication, Stress management, Trauma & PTSD, Video game/internet) contains no autism entry, unlike sibling pages Brandon and Lakeland which do list 'Autism'; that is suggestive but not an affirmative denial, so UNSTATED rather than N. Its own 'Miami, FL Therapy & Psychiatry Services' list is the standard 24-item block, naming testing only generically ('Neuropsychological Testing', 'Psychological Testing and Evaluation'). serves_children = Y from the location's own body: 'Ages Served: Adolescents / Teens, Adults, Seniors / Geriatrics' and 'children, adolescents, adults, and new parents', plus 'Child and Adolescent Psychiatry' and 'Child and Adolescent Therapy'. No individual clinician profiles with specialty tags rendered on this page ('Find Psychiatrists and Therapists at This Location' section only)."
LifeStance,Miami Lakes,https://lifestance.com/location/miami-lakes-fl-14645/,UNSTATED,UNSTATED,UNSTATED,Y,location page; footer,HIGH,"ABA/applied behavior analysis: does not appear anywhere on this page. The ONLY autism string is the site-wide 'Services & Conditions' nav/footer menu link 'Autism Testing and Evaluation' — global menu on every LifeStance page, NOT location-level evidence, so all three autism answers are UNSTATED. The location's own fully-enumerated 'Mental Health Conditions We Treat' list (ADHD, Alcohol use, Anxiety, Attachment issues, Attention & focus, Body image, Dementia & memory issues, Depression/feeling down, Drug/substance use, Early adulthood: Independent living or relationships, Early adulthood: Starting college or career, Focus concentration & memory, General relationship issues, Grief & loss, Marital stress or divorce, Menopause & perimenopause, Other women's health concerns, PMS & PMDD, Panic attacks, Premarital counseling, Self-esteem, Sexual trauma, Stress management, Trauma & PTSD) contains no autism entry. Its own 'Miami Lakes, FL Therapy & Psychiatry Services' list is the standard 24-item block with testing named only generically. serves_children = Y from the location's own body: 'Ages Served: Adolescents / Teens, Adults, Seniors / Geriatrics', 'patients of all ages', 'children, adolescents, adults, and new parents', plus 'Child and Adolescent Psychiatry' / 'Child and Adolescent Therapy' in its own list. No clinician roster with specialty tags (providers named only in patient reviews)."
LifeStance,New Port Richey,https://lifestance.com/location/new-port-richey-fl-9332-state-road-54/,UNSTATED,UNSTATED,Y,Y,location page | footer,HIGH,"LOCATION PAGE (own body content): the per-location list 'Mental Health Conditions We Treat at New Port Richey, FL Location' includes the entry 'Autism: generally independent' — this is the location's own content, not the global menu, so offers_any_autism_service = Y. GLOBAL NAV/FOOTER ONLY: 'Autism Testing and Evaluation' appears in the site-wide Services menu that renders on every LifeStance page; per the rule this is NOT location-level evidence, so offers_autism_eval = UNSTATED. ABA / 'applied behavior analysis' appears nowhere on the page at all — not in nav, footer, or body — so offers_aba = UNSTATED. Nothing on the page names ADOS or an autism assessment battery specific to this branch. CHILDREN: the location's own 'New Port Richey, FL Therapy & Psychiatry Services' list includes 'Child and Adolescent Psychiatry', 'Child and Adolescent Therapy', and 'Play Therapy'; 'Ages Served' reads 'Adolescents / Teens, Adults, Seniors / Geriatrics'; conditions include 'Childhood behavioral issues' and 'School behavioral issues'. Note 'Ages Served' names Adolescents/Teens but does not separately name young children. No individual clinicians with specialty tags are rendered on this page (a 'Find Psychiatrists and Therapists at This Location' section exists but lists no named providers), so no clinician-listing evidence was available. CAVEAT: the 24-item 'Therapy & Psychiatry Services' list is byte-identical across all 12 LifeStance FL pages audited here, so it is chain boilerplate stamped under a location heading; the Conditions-We-Treat list is the field that actually varies between branches and is what the autism judgment rests on."
LifeStance,Ocoee,https://lifestance.com/location/ocoee-fl-10125-west-colonial-drive/,UNSTATED,UNSTATED,N,Y,location page | footer,HIGH,"LOCATION PAGE (own body content): the 'Mental Health Conditions We Treat at Ocoee, FL Location' list runs 35 entries — ADHD, Alcohol use, Anger issues, Anxiety, Attention & focus, Bipolar Disorder, ... 'Social skills & communication', Stress management, Trauma & PTSD, Unusual thoughts or beliefs, Video game/internet — and contains NO autism entry, while sibling Florida branches (New Port Richey, Oviedo, Orlando Lake Underhill, Orlando Robinson St, Orlando Lake Nona, and per prior recon Brandon and Lakeland) do carry 'Autism: generally independent' in the same list. Because this branch enumerates its conditions and autism is affirmatively absent where siblings list it, offers_any_autism_service = N rather than UNSTATED. GLOBAL NAV/FOOTER ONLY: 'Autism Testing and Evaluation' in the site-wide Services menu is the ONLY autism mention anywhere on this page, and per the rule it is not location-level evidence, so offers_autism_eval = UNSTATED. ABA / 'applied behavior analysis' appears nowhere on the page. CHILDREN: the location's own services list includes 'Child and Adolescent Psychiatry', 'Child and Adolescent Therapy' and 'Play Therapy'; 'Ages Served' reads 'Adolescents / Teens, Adults, Seniors / Geriatrics'. No named clinicians with specialty tags are rendered on this page. CAVEAT: the 24-item services list is identical to every other LifeStance FL location page (chain boilerplate); the varying Conditions list is the discriminator."
LifeStance,Orlando,https://lifestance.com/location/orlando-fl-10967-lake-underhill-rd/,UNSTATED,UNSTATED,Y,Y,location page | footer,HIGH,"ORLANDO SITE 1 OF 4 — 10967 Lake Underhill Rd (east Orlando). Distinguish from the Robinson St, New Broad St, and Lake Nona Blvd Orlando branches; all four pages title themselves simply 'Orlando, FL'. LOCATION PAGE (own body content): 'Mental Health Conditions We Treat at Orlando, FL Location' includes 'Autism: generally independent', so offers_any_autism_service = Y on the location's own content. GLOBAL NAV/FOOTER ONLY: 'Autism Testing and Evaluation' in the site-wide Services menu — not location-level evidence, so offers_autism_eval = UNSTATED. ABA / 'applied behavior analysis' appears nowhere on the page. CHILDREN: the location's own services list includes 'Child and Adolescent Psychiatry', 'Child and Adolescent Therapy', 'Play Therapy'; 'Ages Served' reads 'Adolescents / Teens, Adults, Seniors / Geriatrics'; conditions include 'Childhood behavioral issues' and 'School behavioral issues'. A 'Providers At This Location' header renders but no named clinicians or specialty tags appear, so no clinician-listing evidence. CAVEAT: 24-item 'Therapy & Psychiatry Services' list is identical chain boilerplate across FL location pages; the Conditions list is the branch-level discriminator."
LifeStance,Orlando,https://lifestance.com/location/orlando-fl-200-e-robinson-st/,UNSTATED,UNSTATED,Y,Y,location page | footer,HIGH,"ORLANDO SITE 2 OF 4 — 200 E Robinson St (downtown Orlando). LOCATION PAGE (own body content): 'Mental Health Conditions We Treat at Orlando, FL Location' includes 'Autism: generally independent' (list also carries ADHD, Childhood behavioral issues, School behavioral issues, plus a pregnancy/perinatal cluster — Fertility, Pre-conception, Pregnancy, Pregnancy loss, Post-partum depression & anxiety — which is how this branch's list differs from the other Orlando sites). offers_any_autism_service = Y from the location's own list. GLOBAL NAV/FOOTER ONLY: 'Autism Testing and Evaluation' in the site-wide Services menu — the location body never describes autism testing, so offers_autism_eval = UNSTATED. ABA / 'applied behavior analysis' appears nowhere on the page. CHILDREN: the location's own services list includes 'Child and Adolescent Psychiatry', 'Child and Adolescent Therapy', 'Play Therapy'; 'Ages Served' reads 'Adolescents / Teens | Adults | Seniors / Geriatrics'. No clinician directory with specialty tags on the page — providers appear only by first name inside patient reviews (Enrique, Dr. Brise, Mrs. Branch, Justine, Dr. Regal), which is review text, not a specialty listing, and was NOT used as evidence."
LifeStance,Orlando,https://lifestance.com/location/orlando-fl-4776-new-broad-street/,UNSTATED,UNSTATED,N,Y,location page | footer,HIGH,"ORLANDO SITE 3 OF 4 — 4776 New Broad Street (Baldwin Park). LOCATION PAGE (own body content): the 'Mental Health Conditions We Treat at Orlando, FL Location' list here — ADHD, Alcohol use, Anger issues, Anxiety, Attention & focus, Childhood behavioral issues, Depression/feeling down, Drug/substance use, Early adulthood entries, Focus/concentration/memory, General relationship issues, Grief & loss, LGBTQ+, Marital stress or divorce, Menopause & perimenopause, Other women's health concerns, PMS & PMDD, Panic attacks, Premarital counseling, School behavioral issues, Self-esteem, Sexual trauma, 'Social skills & communication', Stress management, Trauma & PTSD — has NO autism entry, unlike the other three Orlando branches (Lake Underhill, Robinson St, Lake Nona) which all list 'Autism: generally independent'. Branch enumerates its conditions and autism is affirmatively absent where same-city siblings list it, so offers_any_autism_service = N. GLOBAL NAV/FOOTER ONLY: 'Autism Testing and Evaluation' in the site-wide Services menu is the ONLY autism string on this page — not location-level evidence, so offers_autism_eval = UNSTATED. ABA / 'applied behavior analysis' appears nowhere on the page. Note 'Social skills & communication' is present but that is a generic condition, not an autism claim, and was not counted. CHILDREN: location services list includes 'Child and Adolescent Psychiatry', 'Child and Adolescent Therapy', 'Play Therapy'; 'Ages Served' reads 'Adolescents / Teens, Adults, Seniors / Geriatrics'. No named clinicians with specialty tags on the page."
LifeStance,Orlando,https://lifestance.com/location/orlando-fl-6718-lake-nona-blvd/,UNSTATED,UNSTATED,Y,Y,location page | footer,HIGH,"ORLANDO SITE 4 OF 4 — 6718 Lake Nona Blvd (Lake Nona / Medical City, south Orlando). LOCATION PAGE (own body content): 'Mental Health Conditions We Treat at Orlando, FL Location' includes 'Autism: generally independent' (40-item list also carrying 'Adoption & foster care', 'Childhood behavioral issues', 'School behavioral issues', 'Parenting'), so offers_any_autism_service = Y from the location's own list. GLOBAL NAV/FOOTER ONLY: 'Autism Testing and Evaluation' in the site-wide Services dropdown — the location body never describes autism testing at this branch, so offers_autism_eval = UNSTATED. ABA / 'applied behavior analysis' appears nowhere on the page. CHILDREN: location services list includes 'Child and Adolescent Psychiatry', 'Child and Adolescent Therapy', 'Play Therapy'; 'Ages Served' reads 'Adolescents / Teens, Adults, Seniors / Geriatrics'. No clinician directory with specialty tags — names such as Connie King, Kathleen Muller, Tammy Schmick appear only inside patient reviews and were NOT used as specialty evidence."
LifeStance,Oviedo,https://lifestance.com/location/oviedo-fl-8400-red-bug-lake-road/,UNSTATED,UNSTATED,Y,Y,location page | footer,HIGH,"LOCATION PAGE (own body content): 'Mental Health Conditions We Treat at Oviedo, FL Location' includes 'Autism: generally independent' (30-item list also carrying ADHD, 'Childhood behavioral issues', 'School behavioral issues', plus a notable psychosis cluster — Hallucinations, Psychosis/issues with reality, Schizophrenia/schizoaffective, Unusual thoughts or beliefs, Personality disorders). offers_any_autism_service = Y from the location's own list. GLOBAL NAV/FOOTER ONLY: 'Autism Testing and Evaluation' in the site-wide Services menu; the location body says nothing about autism testing here, so offers_autism_eval = UNSTATED. ABA / 'applied behavior analysis' appears nowhere on the page. CHILDREN: the location's own services list includes 'Child and Adolescent Psychiatry', 'Child and Adolescent Therapy', 'Play Therapy'; 'Ages Served' reads 'Adolescents / Teens, Adults, Seniors / Geriatrics'. No clinician directory with specialty tags — names such as Tom Daniele, Dorcar Cruz, Dr. Spence appear only in patient reviews and were NOT used as specialty evidence."
LifeStance,Palm Harbor,https://lifestance.com/location/palm-harbor-fl-34650-us-highway-19-n/,UNSTATED,UNSTATED,N,Y,location page | footer,HIGH,"LOCATION PAGE (own body content): the 'Mental Health Conditions We Treat at Palm Harbor, FL Location' list — ADHD, Anger issues, Anxiety, Attention & focus, Caregiving, Childhood behavioral issues, Chronic pain-related issues, Depression/feeling down, Eating issues (food deprivation / purging), End-of-life challenges, Family conflict, Focus concentration & memory, General relationship issues, Grief & loss, Hallucinations, Marital stress or divorce, Menopause & perimenopause, Other women's health concerns, PMS & PMDD, Panic attacks, Premarital counseling, Psychosis/issues with reality, Schizophrenia/schizoaffective, School behavioral issues, Self-esteem, Sexual trauma, Stress management, Trauma & PTSD, Unusual thoughts or beliefs — has NO autism entry, while sibling FL branches (New Port Richey, Oviedo, three of four Orlando sites, and per prior recon Brandon and Lakeland) do list 'Autism: generally independent'. Enumerated list with autism affirmatively absent, so offers_any_autism_service = N. GLOBAL NAV/FOOTER ONLY: 'Autism Testing and Evaluation' in the site-wide Services menu is the ONLY autism string anywhere on this page — not location-level evidence, so offers_autism_eval = UNSTATED. ABA / 'applied behavior analysis' appears nowhere on the page. CHILDREN: location services list includes 'Child and Adolescent Psychiatry', 'Child and Adolescent Therapy', 'Play Therapy'; 'Ages Served' reads 'Adolescents / Teens, Adults, Seniors / Geriatrics'; 'Childhood behavioral issues' and 'School behavioral issues' in conditions. No clinician directory with specialty tags — Melissa Aull, Eva, Allison, Dr. Lisa French appear only in patient reviews and were NOT used as evidence."
LifeStance,Sanford,https://lifestance.com/location/sanford-fl-722-trade-way/,UNSTATED,UNSTATED,N,Y,location page | footer,HIGH,"LOCATION PAGE (own body content): the 'Mental Health Conditions We Treat at Sanford, FL Location' list — ADHD, Alcohol use, Anxiety, Attachment issues, Attention & focus, Bipolar Disorder, Brain/head injuries (TBI), Caregiving, Depression/feeling down, Domestic violence & abuse, Drug/substance use, Emotional abuse, Family conflict, First responder stress, General relationship issues, Grief & loss, Intense mood changes, Marital stress or divorce, Military & veteran, Obsessive Compulsive Disorder, 'Other neurological conditions', Panic attacks, Parenting, Premarital counseling, Self-esteem, Sex & intimacy issues, Sexual trauma, 'Social skills & communication', Stress management, Stroke-related conditions, Trauma & PTSD — has NO autism entry, while sibling FL branches list 'Autism: generally independent'. Enumerated list with autism affirmatively absent, so offers_any_autism_service = N. Note 'Other neurological conditions' and 'Social skills & communication' are present but neither names autism, and neither was counted as an autism claim. GLOBAL NAV/FOOTER ONLY: 'Autism Testing and Evaluation' in the site-wide Services menu is the ONLY autism string anywhere on this page — not location-level evidence, so offers_autism_eval = UNSTATED. ABA / 'applied behavior analysis' appears nowhere on the page. CHILDREN: location services list includes 'Child and Adolescent Psychiatry', 'Child and Adolescent Therapy', 'Play Therapy'; 'Ages Served' reads 'Adolescents / Teens, Adults, Seniors / Geriatrics'. No individual clinicians with specialty tags on the page."
LifeStance,Sarasota,https://lifestance.com/location/sarasota-fl-6600-university-parkway/,UNSTATED,UNSTATED,N,Y,location page | footer,HIGH,"LOCATION PAGE (own body content): the 'Mental Health Conditions We Treat at Sarasota, FL Location' list — ADHD, Adoption & foster care, Alcohol use, Anger issues, Attention & focus, Bipolar Disorder, Dementia & memory issues, Domestic violence & abuse, Drug/substance use, Emotional abuse, Fertility, Focus concentration & memory, Gender identity, General relationship issues, Grief & loss, Hallucinations, Intense mood changes, Marital stress or divorce, Men's health/issues, Menopause & perimenopause, Obsessive Compulsive Disorder, Other women's health concerns, PMS & PMDD, Post-partum depression & anxiety, Pre-conception, Pregnancy, Pregnancy loss, Premarital counseling, Psychosis/issues with reality, Schizophrenia/schizoaffective, Unusual thoughts or beliefs — has NO autism entry, while sibling FL branches list 'Autism: generally independent'. Enumerated list with autism affirmatively absent, so offers_any_autism_service = N. GLOBAL NAV/FOOTER ONLY: 'Autism Testing and Evaluation' in the site-wide Services menu is the ONLY autism string anywhere on this page — not location-level evidence, so offers_autism_eval = UNSTATED. ABA / 'applied behavior analysis' appears nowhere on the page. CHILDREN: this branch's condition list is heavily adult/geriatric/perinatal skewed and names no childhood-specific condition, but the location's own services list still includes 'Child and Adolescent Psychiatry', 'Child and Adolescent Therapy' and 'Play Therapy', and 'Ages Served' reads 'Adolescents / Teens, Adults, Seniors / Geriatrics' — so serves_children = Y, though weaker here than at other branches and resting partly on the boilerplate services list. No individual clinicians with specialty tags on the page."
