domain,company_name,published_cities,published_count,directory_cities,cities_not_published,cities_not_in_directory,locations_page_url,status,confidence,notes
hopkinsmedicine.org,Johns Hopkins All Children's Hospital,Apollo Beach|Bradenton|Brandon|Clearwater|Fort Myers|Lakeland|Land O'Lakes|Lutz|New Port Richey|North Port|Palm Harbor|Sarasota|St. Petersburg|Tampa|Trinity,15,Brandon|Fort Myers|Lakeland|New Port Richey|Palm Harbor|St.. Petersburg|Tampa,,Apollo Beach|Bradenton|Clearwater|Land O'Lakes|Lutz|North Port|Sarasota|Trinity,https://www.hopkinsmedicine.org/all-childrens-hospital/locations,MATCHED,HIGH,Florida arm of the national Johns Hopkins Medicine system; only Johns Hopkins All Children's (St. Petersburg-based) Florida sites counted. Official locations page lists main hospital + outpatient care centers + specialty care sites. All 7 directory cities appear. hopkinsallchildrens.org 302-redirects to this page.
teampbs.com,Positive Behavior Supports Corporation (Team PBS),,0,Brandon|Fort Myers|Gainesville|Jacksonville|Melbourne|Miami|Orlando|Pembroke Pines|Stuart|Tallahassee|Tampa,,,,NO_LOCATIONS_PAGE,HIGH,"National in-home/community ABA provider, BCBA-owned. Site has no locations/clinics page: teampbs.com/locations 404s. The Florida page (teampbs.com/us/en/services/caregivers/fl) is a clickable list of all 67 counties, and each county page lists serviced cities (service area, not offices). No physical office addresses published anywhere on the site, so directory city accuracy cannot be judged."
wolfsonchildrens.com,Wolfson Children's Hospital (Baptist Health),Daytona Beach|Fleming Island|Jacksonville|Lake City|St. Augustine|Tallahassee|Yulee,7,Fleming Island|Jacksonville|Jacksonville Beach|Lake City|Ponte Vedra,Jacksonville Beach|Ponte Vedra,Daytona Beach|St. Augustine|Tallahassee|Yulee,https://www.wolfsonchildrens.com/locations,MISMATCH,MEDIUM,"Jacksonville pediatric hospital. Locations page groups main campus, ER/urgent care centers and specialty centers; Georgia sites (Brunswick, Valdosta) excluded. Jacksonville Beach and Ponte Vedra are not on the published Wolfson list (Baptist Health has beaches-area hospitals, but Wolfson Children's does not publish them as its own locations)."
brooksrehab.org,Brooks Rehabilitation,Apopka|Callahan|Clermont|Daytona Beach|Deltona|Fernandina Beach|Fleming Island|Gainesville|Hudson|Jacksonville|Julington Creek|Kissimmee|Leesburg|New Port Richey|Nocatee|Ocala|Ocoee|Orange City|Orange Park|Orlando|Ormond Beach|Oviedo|Palatka|Palm Coast|Ponte Vedra Beach|Port Orange|St. Augustine|St. Johns|The Villages|Winter Garden|Winter Park|Yulee,32,Daytona Beach|Deltona|Jacksonville|Ormond Beach|Port Orange|St.. Augustine,,Apopka|Callahan|Clermont|Fernandina Beach|Fleming Island|Gainesville|Hudson|Julington Creek|Kissimmee|Leesburg|New Port Richey|Nocatee|Ocala|Ocoee|Orange City|Orange Park|Orlando|Oviedo|Palatka|Palm Coast|Ponte Vedra Beach|St. Johns|The Villages|Winter Garden|Winter Park|Yulee,https://brooksrehab.org/locations/,MATCHED,HIGH,"Florida-only rehabilitation system (hospitals, outpatient clinics, home health, pediatric outpatient) centred on Jacksonville. Locations page is a filterable list; Jacksonville neighbourhood clinics (Mandarin, Ortega, Arlington, San Pablo, Riverside, Bartram) rolled up to Jacksonville. All 6 directory cities appear; company publishes ~26 further Florida cities the directory has no record for."
abacentersfl.com,ABA Centers of Florida,Boca Raton|Celebration|Jensen Beach|Longwood|Orlando|Royal Palm Beach|Tamarac|Tampa|Wesley Chapel,9,Boca Raton|Celebration|Jensen Beach|Longwood|Miramar|Orlando|Royal Palm Beach|Tamarac|Tampa|Wesley Chapel,Miramar,,https://abacentersfl.com/locations/,MISMATCH,HIGH,ABA therapy chain. Official locations page lists 9 Florida centers with street addresses. MIRAMAR is not among them - directory record for Miramar has no counterpart on the company site (nearest published centers are Tamarac and Royal Palm Beach).
florida.easterseals.com,Easterseals Florida,Bunnell|Daytona Beach|DeLand|Fruitland Park|Gainesville|Miami|Naples|New Smyrna Beach|Palm Bay|Palm Coast|Port St. Lucie|Sorrento|Valrico|West Palm Beach|Winter Park,15,Daytona Beach|Deland|Naples|New Smyrna Beach|Palm Bay|Sorrento|West Palm Beach|Winter Park,,Bunnell|Fruitland Park|Gainesville|Miami|Palm Coast|Port St. Lucie|Valrico,https://florida.easterseals.com/about-us/locations-programs,MATCHED,HIGH,"Statewide disability-services nonprofit (Early Steps, ABA, adult day training, Camp Challenge, schools). Locations & Programs page lists each site with city; florida.easterseals.com/locations 404s, the working path is /about-us/locations-programs. All 8 directory cities appear."
elitedna.com,Elite DNA Behavioral Health,,0,Brooksville|Cape Coral|Fort Myers|Gainesville|Jacksonville|Lakeland|Ormond Beach|Tallahassee,,,,NO_LOCATIONS_PAGE,MEDIUM,"Florida/Virginia behavioral health group. Both elitedna.com/locations/ and elitedna.com/find-a-location/ load but render only 'Please enable JavaScript to view Locations' - the clinic list is client-side rendered and unreadable. sitemap_index.xml confirms 40+ per-clinic location pages exist across FL and VA but does not yield a readable city list within the source cap, so no city list could be established and no conclusion drawn about the 8 directory cities."
nicklauschildrens.org,Nicklaus Children's Health System,Boca Raton|Boynton Beach|Cooper City|Coral Springs|Cutler Bay|Davie|Doral|Fort Lauderdale|Hialeah|Miami|Miami Beach|Miami Lakes|Miramar|Naples|Palm Beach Gardens|Palm City|Palmetto Bay|Pembroke Pines|Pinecrest|Pompano Beach|South Miami|Wellington|Weston,23,Medley|Miami|Miami Lakes|Miramar|Palm Beach Gardens|Pembroke Pines|Weston,Medley,Boca Raton|Boynton Beach|Cooper City|Coral Springs|Cutler Bay|Davie|Doral|Fort Lauderdale|Hialeah|Miami Beach|Naples|Palm City|Palmetto Bay|Pinecrest|Pompano Beach|South Miami|Wellington,https://www.nicklauschildrens.org/locations,MISMATCH,MEDIUM,"South Florida pediatric hospital system. Locations page lists hospital campuses, outpatient centers, urgent care and primary/specialty care offices by county. Unincorporated/neighbourhood entries (Allapattah, Midtown, Kendall, West Kendall, West Bird) rolled up to Miami. MEDLEY is not published anywhere on the site. Naples appears only as a collaborator facility (NCH North Naples)."
bluesprigautism.com,BlueSprig Autism (Florida centers),Apopka|Atlantic Beach|Brandon|Clearwater|Clermont|Daytona Beach|Fish Hawk|Gainesville|Jacksonville|Kissimmee|Lake Buena Vista|Lake Mary|Lakewood Ranch|Lehigh Acres|Lutz|Melbourne|Mount Dora|New Port Richey|North Fort Myers|North Port|Ocala|Ocoee|Orange Park|Orlando|Palm Beach Gardens|Palm Coast|Port St. Lucie|Spring Hill|St. Augustine|Tallahassee|Tampa|Temple Terrace|Viera|Wesley Chapel|Winter Park|Yulee,36,Clearwater|Daytona Beach|Gainesville|North Fort Myers|Port St.. Lucie|Spring Hill|Tallahassee|Winter Park,,Apopka|Atlantic Beach|Brandon|Clermont|Fish Hawk|Jacksonville|Kissimmee|Lake Buena Vista|Lake Mary|Lakewood Ranch|Lehigh Acres|Lutz|Melbourne|Mount Dora|New Port Richey|North Port|Ocala|Ocoee|Orange Park|Orlando|Palm Beach Gardens|Palm Coast|St. Augustine|Tampa|Temple Terrace|Viera|Wesley Chapel|Yulee,https://www.bluesprigautism.com/locations/florida/,MATCHED,HIGH,"National ABA center chain with a Florida state page listing 37 FL centers. IMPORTANT: the generic /locations/ page shows only a partial (North Florida) subset - the /locations/florida/ state page is the complete list. Neighbourhood-named centers rolled up (Lake Nona and Waterford Lakes to Orlando, Westchase to Tampa, Jacksonville Northwest to Jacksonville). The center labelled 'Fort Myers' has a North Fort Myers 33903 address, so the directory's NORTH FORT MYERS record matches. All 8 directory cities confirmed."
baycare.org,BayCare Health System,Bartow|Clearwater|Dunedin|Lutz|New Port Richey|Palm Harbor|Plant City|Riverview|Safety Harbor|St. Petersburg|Tampa|Wesley Chapel|Winter Haven,13,Clearwater|Palm Harbor|Safety Harbor|Tampa,,Bartow|Dunedin|Lutz|New Port Richey|Plant City|Riverview|St. Petersburg|Wesley Chapel|Winter Haven,https://baycare.org/hospitals,MATCHED,MEDIUM,"Tampa Bay / West Central Florida health system. baycare.org/locations is a JavaScript location finder (states 600+ locations) that returns no readable list, so the hospital campus list at baycare.org/hospitals was used; Palm Harbor was confirmed separately via its own official location page (baycare.org/locations/b/baycare-outpatient-center-palm-harbor, BayCare Outpatient Center, 3890 Tampa Road). All 4 directory cities confirmed published. published_cities is hospital campuses plus Palm Harbor and is NOT exhaustive - BayCare publishes far more outpatient sites, so cities_not_in_directory understates the gap."
usasportsmedicine.com,USA Sports Medicine,Aventura|Boca Raton|Boynton Beach|Coral Gables|Doral|Fort Lauderdale|Jupiter|Kendall|Miami|Miami Beach|Miami Lakes|North Miami|Pembroke Pines|Venice|Wellington|West Palm Beach,16,Fort Lauderdale|Hollywood|Miami|Miami Beach|Miami Lakes,Hollywood,Aventura|Boca Raton|Boynton Beach|Coral Gables|Doral|Jupiter|Kendall|North Miami|Pembroke Pines|Venice|Wellington|West Palm Beach,https://usasportsmedicine.com/locations/,MISMATCH,HIGH,"South Florida sports medicine / physical therapy chain. List read from the company's own /locations page. Neighborhood entries mapped to city: Brickell, Coconut Grove, Midtown Miami -> Miami; South Beach and Fisher Island -> Miami Beach (HQ is 404 Washington Ave, Miami Beach). Kendall kept as-is (unincorporated Miami-Dade CDP). Directory city HOLLYWOOD is not on the published list."
abacustherapies.com,Abacus Therapies,Doral|Fort Lauderdale|Hollywood|Miami|Weston,5,Boca Raton|Fort Lauderdale|Hollywood|Miami|Palm Beach Gardens|West Palm Beach|Weston,Boca Raton|Palm Beach Gardens|West Palm Beach,Doral,https://abacustherapies.com/our-location/,MISMATCH,HIGH,"ABA therapy provider. /locations 404s; the real page is /our-location/, reached from the homepage footer 'Our Locations'. That page groups centers by county and lists 5 Florida addresses: Hollywood, Weston, Ft Lauderdale (Broward); Doral, Miami (Miami-Dade). All three Palm Beach County directory cities (Boca Raton, Palm Beach Gardens, West Palm Beach) are absent from the company's published list."
healthcare.ascension.org,"Ascension (Ascension Sacred Heart / Ascension St. Vincent's, Florida)",,0,Gulf Breeze|Jacksonville|Miramar Beach|Pace|Pensacola|Port St. Joe|Santa Rosa Beach,,,,NO_LOCATIONS_PAGE,LOW,"National Catholic health system; Florida operations are Ascension Sacred Heart (Northwest Florida/Pensacola) and Ascension St. Vincent's (Jacksonville). Tried /locations?state=FL, /locations/florida and /sacred-heart. All are JavaScript 'Find a location' search tools that render no enumerable list to a fetch - the Florida page only says '5 hospitals, 100+ locations, 8 ERs' and names Pensacola and Pace in prose. Individual facility pages exist under /locations/florida/... but there is no loadable index, so no complete published city list could be established and nothing can be concluded about the 7 directory cities."
bassautism.com,"BASS ABA Therapy (Behavior Analysis Support Services, Inc.)",Altamonte Springs|Clearwater|DeBary|Gainesville|Jacksonville|New Port Richey|Ocala|Orange City|Orange Park|Ormond Beach|Oviedo|Palm Harbor|Port Orange|Saint Petersburg|Spring Hill|Tampa|Wesley Chapel,17,Clearwater|Gainesville|Ormond Beach|Port Orange|Spring Hill,,Altamonte Springs|DeBary|Jacksonville|New Port Richey|Ocala|Orange City|Orange Park|Oviedo|Palm Harbor|Saint Petersburg|Tampa|Wesley Chapel,https://www.bassautism.com/location-finder/,MATCHED,HIGH,"ABA therapy provider, 21 Florida centers on its own Location Finder. Page is flaky (several 5xx fetch failures before it loaded; /locations 404s). Centers are named 'City - Sub-area', so sub-areas were resolved to cities: Orlando - Altamonte Springs -> Altamonte Springs, Jacksonville - Orange Park -> Orange Park, Clearwater - St. Petersburg -> St. Petersburg, Tampa Palms/Westchase/Carrollwood/Clocktower -> Tampa. All 5 directory cities are published."
koalaaba.com,Koala ABA & Learning Centers,Doral|Panama City Beach,2,Doral|Miami Lakes|Miramar|Panama City Beach|Tampa,Miami Lakes|Miramar|Tampa,,https://koalaaba.com/locations,MISMATCH,HIGH,"ABA and learning centers. The company's own locations page publishes only two Florida centers: Doral (2898 NW 79th Ave, HQ) and one labeled 'Panama City' whose published address is 14101 Panama City Beach Pkwy, Panama City Beach FL 32413 (counted as Panama City Beach). Directory cities Miami Lakes, Miramar and Tampa are not published anywhere on the site."
ufhealth.org,UF Health (University of Florida Health),Gainesville|Jacksonville|Leesburg|Mount Dora|Ocala|The Villages,6,Gainesville,,Jacksonville|Leesburg|Mount Dora|Ocala|The Villages,https://ufhealth.org/locations,MATCHED,MEDIUM,"Academic health system across north/central Florida. ufhealth.org/locations loaded but is a JavaScript-driven searchable finder that returns no enumerable list; cities above were taken from the prose on that page plus UF Health's own facility-names page (ufhealth.org/media-resources/facility-names), which lists the Gainesville flagship facilities (Shands Hospital, Shands Children's, Heart & Vascular, Neuromedicine, Psychiatric, etc.) plus Leesburg and Ocala. All 6 directory records are Gainesville, which is unambiguously published, so MATCHED - but the published list is incomplete, hence MEDIUM confidence and cities_not_in_directory is not exhaustive."
reboundrehab.com,Rebound Rehabilitation,,0,Jacksonville,,,,NO_LOCATIONS_PAGE,LOW,"Northeast Florida physical/aquatic therapy group. Only the root homepage would load; every sub-path tried (/locations, /locations/, /our-locations, /location/, /contact, /contact/, www variants) failed with a robots.txt fetch ConnectTimeout / parse failure, i.e. the site is effectively bot-blocked below the root. Per-clinic pages exist at /location/physical-therapy-<area>-fl/ but none could be loaded, so no published list was established. For information only (not used as evidence): the homepage prose names Jacksonville, Jacksonville Beach area, Orange Park, Fleming Island and St. Augustine as service areas, and the directory's single city (Jacksonville) is among them - no red flag apparent, but not verified from a locations page."
firststep-therapy.com,First Step Therapy LLC,Eustis|Haines City|Kissimmee|Lakeland|Leesburg|Longwood|Orange City|Orlando|Tampa|Winter Haven,10,Lakeland|Longwood|Orange City|Tampa|Winter Haven,,Eustis|Haines City|Kissimmee|Leesburg|Orlando,https://firststep-therapy.com/private-pediatric-therapy-clinic-locations,MATCHED,HIGH,"Pediatric therapy (OT/PT/speech) clinics in Central Florida. /locations 404s; the real page is /private-pediatric-therapy-clinic-locations, found via the homepage 'Clinic Locations' nav link. 12 clinics listed; two are in Kissimmee (Kissimmee + Poinciana) and two in Tampa (East Side + West Waters). All 5 directory cities are published."
