id,name,verified_street,verified_suite,verified_city,verified_zip,verified_county,site_phone,address_status,location_matches_record_city,evidence_url,sources_checked,confidence,notes
7487,"Steps Therapy Center, Corp",4800 W Flagler St,Suite 215,Coral Gables,,Miami-Dade,(954) 368-4786,RESOLVED,Y,https://stepstherapycenter.com/services-1765,2,HIGH,Completes the stored '4800 W' fragment. Org never publishes a ZIP; stored 33134 is consistent. Second location in Key Largo.
8066,Helping Hands,,,,,,,NO_ADDRESS_PUBLISHED,UNCLEAR,,3,LOW,hhclinicgnv.org blocks automated fetching on every path tried; the one page that returned content had no address or phone. Own Facebook also robots-blocked. Needs a manual browser check.
8434,Inspire Vision Therapy and Rehab,3475 Sheridan Street,Suite 206,Hollywood,33021,Broward,754-231-1632,RESOLVED,Y,http://www.inspirevisiontherapy.net/,1,HIGH,"Stored value was only the building name 'Sheridan Executive Center'; street number, name and suite now supplied."
8470,Sport & Spine Physical Therapy & Wellness Center,17824 US Highway 41,,Lutz,33549,Pasco,813-910-9040,RESOLVED,Y,http://www.ssptwc.com/,1,MEDIUM,"Supplies the street name missing from the stored fragment '17824 N'; site renders it as U.S. 41 without the directional. ZIP 33549 straddles the Pasco/Hillsborough line, so county is MEDIUM."
8475,Children's Learning Clinic,1107 W Call St,,Tallahassee,32306,Leon,850-645-7423,RESOLVED,Y,https://childrenslearningclinic.com/contact.html,3,HIGH,"psy.fsu.edu/clc now only shows a moved-page redirect. Clinic's own contact page publishes a real street number and name, not just a campus building. ZIP is 32306, NOT the stored 32304."
8490,Baptist Behavioral Health - Wolfson Children's Bridge Program,836 Prudential Drive,"Pavilion Building, Suite 1507",Jacksonville,32207,Duval,(904) 376-3800,RESOLVED,Y,https://www.baptistjax.com/doctors/baptist-behavioral-health,1,HIGH,Building name now paired with street number and name. Bridge Program is Suite 1507; a separate Pavilion entry at the same address is Suite 1506.
8556,SPEECH LANGUAGE PATHOLOGIST - Wellington,,,,,,,NO_ADDRESS_PUBLISHED,N,https://creativetherapysolution.com/,1,HIGH,"The listed domain still redirects to Creative Therapy Solution, an ARIZONA provider in Scottsdale serving the Phoenix metro. No Florida or Wellington presence at all. Record name is a job title, not an organisation. Recommend deletion - not a Florida organisation."
8866,"Marie H. Guilford, PHD",,,,,,,NO_ADDRESS_PUBLISHED,Y,https://www.mariehumeguilfordphd.com/bio,1,LOW,"Practice is Capital Psychology Consultants, Tallahassee. Loaded /bio, /services-provided and /links-resources - none publish a street address. The one page carrying contact details, /contact-me, failed across roughly ten attempts on a robots.txt timeout. Needs a manual check of that page."
8936,Stepping Forward ABA LLC,,,Orlando,,Orange,(407) 325-0235,NO_ADDRESS_PUBLISHED,Y,https://steppingforwardaba.com/,3,HIGH,"The org publishes its address literally as 'S Goldenrod Rd, Orlando, FL' with NO street number - the stored value is a faithful copy of what they publish, not a data-entry error. Street number must be obtained from the provider directly."
9069,My Optimal Child,175 SW 7th St,Suite 1501,Miami,33130,Miami-Dade,(786) 584-6372,RESOLVED,Y,https://myoptimalchild.com/contact/,1,HIGH,'Latitude Office Building' in the stored record is the building name for 175 SW 7th St; Suite 1501 was the missing piece.
9086,FIRST STEP THERAPY - Lakeland,520 S Florida Ave,,Lakeland,33801,Polk,863-583-5070,RESOLVED,Y,https://firststep-therapy.com/private-pediatric-therapy-clinic-locations,1,HIGH,Stored '520' was a truncated street number. Phone discrepancy: site lists 863-583-5070 for Lakeland; the stored number is the Winter Haven clinic.
9087,Hope Broker Williams Family Therapy,,,,,,,NO_ADDRESS_PUBLISHED,UNCLEAR,,2,LOW,"Site is live and Lakeland-branded pages are indexed, but every fetch of http/https, www and non-www, homepage, /contact and /faqs was refused on a robots.txt failure. Stored fragment '5120' unverified."
9109,Hope Counseling Centers,4404 S Florida Ave,Suite 3,Lakeland,33813,Polk,(863) 709-8110,RESOLVED,Y,https://hopecounselingeap.com/locations.html,1,HIGH,Lakeland is the main office. Six other offices statewide are separate locations.
9179,Speech With A Twist,,,,,,,NO_ADDRESS_PUBLISHED,UNCLEAR,,3,LOW,"The record's listed 'website' is an Instagram profile, which is robots-blocked. Found the real site speechwithatwist.com and loaded home, /contact and /locations-2 - all JavaScript-rendered with no extractable text. Missing suite for 7800 SW 57th Ave unconfirmed."
9222,Better Speech of Palm Beach,12300 Alternate A1A,Suite 106,Palm Beach Gardens,,Palm Beach,(561) 248-4367,RESOLVED,Y,https://www.betterspeechofpb.com/,1,HIGH,Resolves the dangling 'SUITE' fragment to Suite 106 and expands the mangled 'FL A1AALT' to Alternate A1A. Site publishes no ZIP; stored 33410 is consistent.
9235,FSU School of Communication Science and Disorders,201 W Bloxham St,Warren Building,Tallahassee,32306,Leon,(850) 644-2253,RESOLVED,Y,https://commdisorders.cci.fsu.edu/,1,HIGH,"Stored ZIP 32301 is wrong; correct campus ZIP is 32306. SAME ADDRESS as record 6938 (the Speech and Hearing Clinic) - academic school vs its clinic, worth checking whether both should be listed."
9254,"Our Speech Garden, LLC.",,,,,,(813) 738-4376,NO_ADDRESS_PUBLISHED,UNCLEAR,https://ourspeechgarden.com/contact/,1,MEDIUM,"Publishes only 'Serving the Tampa Bay Area' plus phone and email. In-person and online sessions, consistent with a mobile plus teletherapy practice. Stored address value was literally 'TAMPA' - a city, not a street."
9256,"Sweet Speech, LLC",,,,,,407.426.4060,NO_ADDRESS_PUBLISHED,Y,https://www.sweet-speech.com/,2,MEDIUM,"SimplePractice-hosted site with only home, sign-in and privacy pages. Lists 'Oviedo, FL' and a phone, no street address anywhere."
9272,Square One Behavioral Services Inc. - ABA Therapy For Autism,420 S State Road 7,#174,Royal Palm Beach,33414,Palm Beach,561-568-9367,RESOLVED,N,https://sq1behavioral.com/contact-us/,1,MEDIUM,"Supplies the street name for the stored bare '420'. CITY IS ROYAL PALM BEACH, not Wellington (same 33414 ZIP). The '#174' looks like a mailbox suite rather than a clinic suite; services are largely in-home."
9292,"Little Harbor Therapy, LLC",,,,,,(561) 370-4202,NO_ADDRESS_PUBLISHED,N,https://www.littleharbortherapy.com/about1-c1z94,2,MEDIUM,"All four site pages checked; contact page publishes phone and email only. Every page brands the practice as PALM BEACH GARDENS, not the record's Jupiter. Third-party listings show a Jupiter address but are excluded per rules."
9316,A+ Handwriting Occupational Therapy,,,,,,(813) 245-3671,NO_ADDRESS_PUBLISHED,UNCLEAR,https://aplushandwriting.com/contact/,1,HIGH,"Genuinely mobile-only - the therapist travels by mobile therapy bus to homes, schools, libraries and homeschool groups across Tampa Bay. Record city Lutz is inside the service area but no fixed location is published."
9436,Saylor Physical Therapy - West Palm Beach,2090 Palm Beach Lakes Blvd,Suite 900,West Palm Beach,33409,Palm Beach,561-335-5965,RESOLVED,Y,https://www.saylorpt.com/west-palm-beach,2,HIGH,Multi-location chain; took the West Palm Beach clinic. Suite 900 was the missing value. Homepage still describes this clinic as recently opened.
9544,Complete Care Lakeland,1205 E Magnolia St,Suite 105,Lakeland,33801,Polk,(863) 272-7454,RESOLVED,Y,https://www.complete-care.com/locations/complete-care-lakeland/,1,HIGH,Chain location page supplies the missing Suite 105; street and phone match the record.
9568,Apollo Rehab Miramar,3400 Lakeside Drive,Suite 103,Miramar,33027,Broward,(954) 342-9333,RESOLVED,Y,http://www.apollo-rehab.com/,1,HIGH,"Replaces the useless 'Carnival Building' value. Three offices listed; Miramar matches the record city, ZIP and phone."
9577,Palm Rehabilitation Center Inc. - Hallandale Beach,2500 E Hallandale Beach Blvd,,Hallandale Beach,33009,Broward,954-458-2022,RESOLVED,Y,https://palmrehabcenter.com/,2,MEDIUM,"Site publishes NO suite anywhere, so the dangling 'Suite' fragment should simply be cleared. A third-party booking listing shows Suite 210 but is excluded. Site phone 954-458-2022 differs from the stored 954-458-2202 - likely a digit transposition in the record."
9617,Path Medical - Dade,17560 NW 27th Avenue,Suite 117,Miami Gardens,33056,Miami-Dade,(305) 623-5939,RESOLVED,Y,https://pathmedical.com/locations/aventura-9/,1,HIGH,Suite 117 fills the incomplete address2. Page slug reads 'aventura-9' but the published address is the Miami Gardens clinic.
9626,Honor Murphy Physical Therapy Solutions,2176 Sarno Road,Suite 102,Melbourne,32935,Brevard,321-421-9144,RESOLVED,Y,https://www.honor-pt.com/contact-us,2,HIGH,Trades as Honor Physical Therapy Services. This is the Sarno Rd plaza the stored 'Bowe Gardens Shopping Center' name refers to; ZIP and phone match.
9642,Cathy Orlando Physical Therapy,2221 Lee Road,Suite 16,Winter Park,32789,Orange,407-308-2850,RESOLVED,Y,https://www.cathyorlandopt.com/contactmecathyorlandopt,1,HIGH,"Suite 16 completes the dangling 'Suite' keyword; street, city and ZIP match the record."
9664,MaternalFit Pelvic Physical Therapy,3930 S Nova Road,Suite 205,Port Orange,32127,Volusia,(689) 900-5073,RESOLVED,Y,http://www.maternalfitpelvicpt.com/,1,HIGH,The stored 'Nova Professional Building' is the building at this S Nova Road address; the site does not use that building name. ZIP and phone match.
9727,Empower Her Physical Therapy & Wellness - Pelvic Floor Therapist,12731 World Plaza Lane,"Bldg 83, Suite 2",Fort Myers,33907,Lee,(941) 312-1861,RESOLVED,Y,http://www.empowerherpt.com/,1,HIGH,"Full address published on the homepage. The missing address2 detail is 'Bldg 83, Suite 2'."
9794,Department of Communication Sciences and Disorders,3280 Progress Drive,Suite 500,Orlando,32826,Orange,407-882-0468,RESOLVED,Y,https://healthprofessions.ucf.edu/cdclinic/contact/,3,HIGH,"Department runs a public clinic, the UCF COMMUNICATION DISORDERS CLINIC, in Central Florida Research Park; clinic address used. Suite 500 is the main clinic, Suite 300 the Aphasia House, Suite 250 the FAAST Center. Department admin address is 12805 Pegasus Drive, 32816."
9815,Nicklaus Children’s Hospital,3100 SW 62nd Avenue,,Miami,33155,Miami-Dade,(305) 666-6511,RESOLVED,Y,https://www.nicklauschildrens.org/home,1,HIGH,Homepage footer publishes the Miami hospital campus address; phone and ZIP match the record. The stored 'Medical Arts' fragment is a building on this campus with no separately published street address.
9960,Optimal Performance & PT,1501 W Cleveland Street,Suite 220,Tampa,33606,Hillsborough,(813) 805-8105,RESOLVED,Y,https://www.theoppt.com/locations/,1,MEDIUM,"Identified by exact phone and ZIP match to the Hyde Park clinic. The stored fragment '1812' matches NONE of the 17 published locations - likely a former or corrupted address, so the street number is a re-identification rather than a completion. Verify before writing."
10000,Lemon City Collective,7201 NE 4th Avenue,Suite 105,Miami,,Miami-Dade,+1 (305) 209-1622,RESOLVED,Y,https://lemoncity.janeapp.com/,3,HIGH,"Main site published no address and its subpages block fetching; address found on the org's own Jane booking portal. 'Yellow Door' in the stored record is a door descriptor, matching the portal wording exactly. No ZIP published; stored 33138 is consistent. Portal phone differs from the stored (305) 209-1616."
10078,North Florida Therapy Services,860 Strong Road,,Quincy,32351,Gadsden,850-627-0476,RESOLVED,Y,https://www.northfltherapy.com/contact/,1,HIGH,"Phone matches the record. Site also notes a children's museum opening in Havana, FL - not the Quincy therapy office."
10096,Wolfson Children's Rehabilitation - Baptist Medical Center Beaches,1375 Roberts Drive,"MOB B, Suite 202B",Jacksonville Beach,32250,Duval,904-627-1480,RESOLVED,Y,https://www.wolfsonchildrens.com/locations/service-line/rehabilitation-medicine-locations,1,HIGH,"'MOB B' is Medical Office Building B, which explains the stored building-name-only fragment. Phone matches."
10229,Wolfson Children's Rehabilitation - HealthPlace at Nocatee,400 Colonnade Drive,Suite 110,Ponte Vedra,32081,St. Johns,904-271-7500,RESOLVED,Y,https://www.wolfsonchildrens.com/locations/service-line/rehabilitation-medicine-locations,1,HIGH,Listed as Baptist HealthPlace at Nocatee. Phone matches the record.
10272,From the Heart Therapy,,,,,,(954) 999-5597,NO_ADDRESS_PUBLISHED,UNCLEAR,https://fromthehearttherapyot.com/service/occupational-physical-and-speech-therapy/,2,LOW,"Site publishes phone and email only. Contact pages could not be loaded - the www host has an EXPIRED SSL CERTIFICATE, causing repeated robots.txt failures. Their own Facebook is titled 'Pembroke Pines FL', which may conflict with the record's Southwest Ranches city."
10705,Words in Motion Therapy,,,,,,,NO_ADDRESS_PUBLISHED,UNCLEAR,https://www.wordsinmotiontherapy.com/contact,2,HIGH,"Home, contact, about and services all checked - no address and no phone published; contact page is a form plus social links. Practice is virtual and in-home across Pasco, Pinellas, Hernando, Hillsborough and Polk plus virtual nationwide. No physical clinic exists to verify."
