id,name,city,insurances_found,no_slug_plans,scholarships_mentioned,self_pay_only,source_page_url,evidence_location,confidence,notes
9042,Behavior Management Center Inc,Cape Coral,NO_LIST,,,N,https://behaviormc.com/,none found,MEDIUM,"Homepage and the 'What's ABA Therapy?' page both loaded. No insurer named anywhere; no logo strip, no footer plan list, not even a generic 'we accept insurance' sentence. Nav is entirely RBT/BCaBA training pages (Mission, Background, RBT Supervision, 40 Hours RBT Course, Join our team) - no insurance, funding, billing or FAQ page exists on the site. Only payment-adjacent content is a phone number and gmail address."
7442,"Better Perspective Counseling Services, LLC - Cape Coral",Cape Coral,NO_LIST,,,Y,https://betterperspectivecounseling.com/fees-insurance/,insurance page,HIGH,"Dedicated Fees & Insurance page loaded. Private-pay practice: 'I'm not in-network with your insurance provider.' Clients pay per session ($145 individual / $165 couples-family) and may submit a superbill for out-of-network reimbursement. No insurer is named anywhere on the page, so plans_verbatim is NO_LIST while self_pay_only = Y."
6576,Cape Speech Therapy LLC,Cape Coral,NO_LIST,,,N,https://www.capespeechtherapy.com/about.php,none found,MEDIUM,"Homepage (index.php) and about.php both loaded. Tiny 5-page static .php site (Home, About Us, Disorders, Directions, Testimonials) with no insurance, billing or FAQ page. No insurer named, no logo strip, and no payment statement of any kind on either page."
7484,Champions Club Special Needs Ministry,Cape Coral,NO_LIST,,,N,https://championsclub.org/location/city-first-church/,none found,MEDIUM,"The city-specific location page for City First Church loaded (chain of church-hosted locations, so a location page was used rather than the national site). This is a church special-needs ministry, not a billing provider - the only payment content is a Donate/PayPal link plus credit-card logos in the footer. No insurer and no scholarship named."
7319,Crystal Angels Behavior Center Inc,Cape Coral,NO_LIST,,,N,https://crystalangelsbehavior.com/our-services/,none found,MEDIUM,"Homepage and Our Services page both loaded. Nav is Home, Mission, What is ABA?, Objectives, Contact Us, Careers, Our Services - no insurance, funding, billing or FAQ page exists. Our Services is only an inquiry form. No insurer named, no logo strip, no Medicaid or scholarship mention anywhere."
6610,"Family Initiative, Inc",Cape Coral,NO_LIST,,,N,https://www.fi-florida.org/locations/cape-coral/,none found,MEDIUM,"[trap b] Three pages loaded: homepage, the Cape Coral location page (city-specific, matching the row), and the ABA Therapy service page. Multi-location Florida nonprofit (Cape Coral, Fort Myers, Sarasota, Miami, St. Petersburg), so the location page was checked deliberately rather than relying on a company-wide page. No insurer, Medicaid mention or scholarship named on any of the three; the only payment content is a donation call to action."
6551,Healing Horizons Therapy,Cape Coral,NO_LIST,,,N,https://www.myhealinghorizons.com/contact-us/,none found,MEDIUM,"Homepage and Contact Us page both loaded. No fees, insurance or FAQ page exists in the nav (Home, Our Specialty, All Conditions, EMDR Therapy, About, News & Blogs, Book Appointment, Contact). No insurer named, no logo strip, no payment or out-of-network statement. Contact page covers scheduling and crisis resources only."
6740,I-BOS Counseling Center,Cape Coral,medicare|aetna|cigna|florida-blue|humana|unitedhealthcare|tricare,"Alliance|Beech Street (PPO, HMO)|BHS (Behavioral Health System, Inc)|ComPsych C|Corporate Care Works|Coventry|E4 Health Inc. (EAP)|ESI (EAP)|FloridaSDC|Health Advocate EAP|Lee Health Innovates|LifeSynch|Managed Health Network (MHN)|MHNet|Military OneSource|MultiPlan Network|Mutual of Omaha|OptumHealth Behavioral Solutions|PacifiCare Behavioral Health|PHCS Network (including PHCS Savility)|Sedgwick|ValuePoint by MultiPlan|WTC (World Trade Center Nationwide)",,N,https://www.iboscounseling.com/index.php/payment/,insurance page,HIGH,"Full in-network list published as body text on the practice's own Payment page; names left exactly as printed, including the 'Evernorth Behavioral Health (formally Cigna Behavioral)' typo and the provider-restricted Medicare entry. Also printed: 'Out of Network with: Magellan' and an explicit exclusion - 'We do NOT accept Medicaid. This includes Healthy Kids, StayWell and Sunshine Health.' Self-pay is offered alongside insurance ('If you are a self-paying client with no insurance, fees can be discussed with each individual therapist'), so self_pay_only = N. Caveat: this is a general/EAP counseling practice list, not an ABA-specific one."
7010,Meraki Behavior Therapy LLC,Cape Coral,NO_LIST,,,N,https://merakibehaviortherapy.com/faq/,none found,MEDIUM,"Three pages loaded: homepage, FAQ, and the Become a Client / intake page - i.e. exactly the pages a plan list would live on. None names an insurer, Medicaid or a scholarship. The intake page is only contact info plus a Google Form link. No logo strip, no footer plan list."
6721,My Word Speech Therapy LLC,Cape Coral,NO_LIST,,,N,https://www.mywordspeech.com/contact-5,none found,MEDIUM,"All three pages of this 4-page site loaded (Home, Services, Contact). No insurance, fees or FAQ page exists. No insurer named, no logo strip, no Medicaid, scholarship or private-pay statement anywhere. Contact page is hours, address and social links only."
7034,"Positive Progress - Counseling & Coaching, PLLC",Cape Coral,NO_LIST,,,N,https://capecoralcounselor.com/,none found,MEDIUM,"Homepage loaded (content was therapist bio for Rick Merillat plus a support-group promo; the fetch surfaced no internal nav links). No insurer named, no fee or insurance statement. Attempted https://capecoralcounselor.com/contact/ twice and both attempts failed with ROBOTS_DISALLOWED ('Failed to fetch or parse robots.txt'), so subpages could not be checked - the site itself is live, hence NO_LIST rather than SITE_UNREACHABLE."
6818,"Prestige Behavioral Center, LLC.",Cape Coral,NO_LIST,,,N,https://www.prestigebehavioralcenter.com/,none found,MEDIUM,"Single-page Wix site; every nav item (Our Services, Careers, Apply, Opening Hours, Contact) is an anchor back to the homepage, which loaded fully. No insurer, Medicaid, scholarship or payment statement anywhere on it. A guessed https://www.prestigebehavioralcenter.com/insurance returned 404, confirming no insurance page exists. Intake is an off-site HIPAA JotForm, not part of their site."
7343,Puzzle Therapy Services,Cape Coral,florida-medicaid,,,N,https://puzzletherapyservices.com/about,body copy,MEDIUM,"Only one plan is named on the whole site, in body copy on the About page: 'Florida Medicaid'. The page adds 'We continue to contract with new insurance companies. If you do not see your insurance plan listed here, please call our office to check for the status of our application, as new plans are frequently being adopted.' Private pay is offered alongside insurance ('We also accept private pay in the form of personal checks or major credit cards'), so self_pay_only = N. Contact and Services pages were also loaded and name no plans."
7440,"Southwest Florida Sports Counseling, LLC",Cape Coral,aetna|cigna|florida-blue|unitedhealthcare,,,N,https://swfltherapy.com/rates-insurance/,insurance page,HIGH,"Rates & Insurance page names United Healthcare, Cigna, Aetna, BCBS. Also states 'Depending on your current health insurance provider or employee benefit plan, it is possible for services to be covered in full or in part.' and 'I accept cash, check and all major credit cards as forms of payment.' Cash offered alongside insurance so self_pay_only=N. Solo counseling practice ($90/hr posted), not an ABA provider."
7350,Sports Specialty and Rehab,Cape Coral,NO_LIST,,,N,https://www.selectphysicaltherapy.com/your-experience/insurance-and-patient-responsibilities/,none found,MEDIUM,"[trap b,c] sportsspecialty.com 302-redirects to selectphysicaltherapy.com — the practice was absorbed into Select Physical Therapy, a national chain. Its 'Insurance and Patient Responsibilities' page is generic billing education (deductibles, copays, coinsurance) naming zero insurers: 'As a courtesy, our patient service specialists review plan benefits we receive from your health insurance and work with you on payment options, if needed.' and 'We highly recommend that you contact your insurance company before your first appointment to confirm therapy services.' No Cape Coral location-specific insurance page. 3 attempts used."
7474,"Stepping Stone Kids Therapy, LLC - Cape Coral - 1342 Se 46th Ln",Cape Coral,aetna|sunshine-health,Carelon|Simply Healthcare Plan,,N,https://sskidstherapy.com/insurance/,insurance page,MEDIUM,"[trap b] Insurance page splits by service line: ABA in-network = Children's Medical Services healthplan from SunShine, Aetna, Carelon; Speech/OT in-network = Children's Medical Services healthplan from SunShine, Aetna, Simply Healthcare Plan. Page warns 'Not all insurance plans cover our ABA, OT and ST services.' and hedges 'Your insurance isn't listed above; That's okay... We take on most major insurances and accept a wide range of covered plans.' Multi-location provider (/locations/ exists); this is the company-wide insurance page — no page specific to the Cape Coral 1342 SE 46th Ln site."
6829,"The Back Door Counseling, LLC",Cape Coral,NO_LIST,,,N,https://thebackdoorcounseling.com/,none found,MEDIUM,"Attempt 1 on http://www.thebackdoorcounseling.com/ failed robots.txt fetch: '[SSL: CERTIFICATE_VERIFY_FAILED] self-signed certificate in certificate chain'. Retry on https://thebackdoorcounseling.com/ resolved, but the page is essentially contentless — no navigation, no insurance or payment copy, only a 'Website Created & Hosted by Doteasy Web Hosting Canada' credit. Effectively a placeholder/near-parked site. It did load, so not SITE_UNREACHABLE."
7290,Tukkos Therapy Center Inc,Cape Coral,NO_LIST,,,N,https://www.tukkosabatherapy.com/,body copy,MEDIUM,"Homepage's only insurance statement is 'We take most insurances.' — no insurer named, no logo strip. /services page names no payer either. Textbook do-not-infer case."
6491,Untamed Therapy & Consulting | EMDR Certified Trauma Therapy in SWFL,Cape Coral,NO_LIST,Lee Health,,N,https://untamedtherapy.com/,body copy,MEDIUM,"Only named payer: 'Untamed Therapy is in-network with Lee Health for weekly 55-minute psychotherapy sessions ONLY.' Everything else is out-of-network: 'Outside of that, we are an out-of-network provider, and EMDR Intensives are always private pay.' Also accepts HSA/FSA and issues superbills. self_pay_only=N because one genuine in-network contract is named, but the practice is predominantly OON/private pay. EMDR/trauma therapist, not an ABA provider."
8524,"Vitality Kids Counseling Group, Inc",Cape Coral,NO_LIST,,,N,https://vitalitykidscg.com/,none found,MEDIUM,"Homepage, /aba-therapy and /services all loaded cleanly and contain zero payment or insurance content — no insurer named, no logo strip, and not even a generic 'we accept insurance' sentence. Site is purely descriptive about ABA. 3 attempts used."
10596,ABA Centers of Florida - Celebration,Celebration,NO_LIST,,,N,https://abacentersfl.com/insurance-accepted/,none found,MEDIUM,"[trap b,c] The dedicated /insurance-accepted/ page names NO carrier at all. Body copy only: 'We accept most insurance plans.' and 'We work with most major insurance companies and will do all of the legwork for you.' No logo strip and no carrier names in image alt text; it funnels visitors to a 'Free Insurance Verification' contact form instead. Multi-location Florida chain (part of the multi-state ABA Centers brand) and the Celebration location has no separate insurance page."
6866,"360 Counseling LLC Clearwater, FL",Clearwater,aetna|cigna|florida-blue|unitedhealthcare,,,N,http://www.clearwater360counseling.com/,body copy,MEDIUM,"Named per-clinician in homepage staff bios rather than on one insurance page. 'Dr. Lauren Messina ... currently accepting United Insurance and private pay clients'; 'Adalyn Thomas ... accepts private pay and is in-network with Blue Cross Blue Shield (BCBS), Cigna and Aetna'; several interns repeat the BCBS/Cigna/Aetna line. Coverage therefore varies by clinician. 'United Insurance' left verbatim, not normalised to UnitedHealthcare. Private pay offered alongside insurance so self_pay_only=N."
5861,BayCare Kids Specialty Center- Mease Countryside,Clearwater,NO_LIST,,,N,https://baycare.org/billing-and-insurance/insurance-plans-accepted,none found,MEDIUM,"[trap b] The exact location URL in the CSV returns HTTP 404 (tried twice, with and without the utm query string) — the BayCare Kids Specialty Center - Mease Countryside location page is gone. BayCare's system-wide 'Insurance Plans Accepted' page does load and carries a very long carrier list, BUT it is explicitly scoped out of this facility: 'The plans listed below reflect insurance plans contracted for BayCare hospitals, Outpatient Surgery Centers and Outpatient Imaging Centers.' A children's specialty outpatient clinic is none of those, so applying that list to this record would be inference against the site's own scoping sentence. Recording NO_LIST for the location. If a curator wants the hospital-scope list anyway it is at the source_page_url above."
6906,Behavior Analysis Solutions LLC,Clearwater,NO_LIST,,,N,https://www.behavioranalysissolutions.com/,none found,MEDIUM,"JS-ONLY / EMPTY-RENDER SITE. Three attempts (/, /services, /about) each returned HTTP 200 but the document body contained nothing beyond a viewport meta tag — client-side-rendered page WebFetch cannot read. Domain is live so not SITE_UNREACHABLE, but no insurance content could be read. A browser-rendered recheck would be needed to rule out a list."
6614,Better Care Counseling,Clearwater,medicare|aetna|cigna|humana,Lyra (Employee Assistance Plan),,N,http://bettercarecounseling.com/rates-and-insurance,insurance page,HIGH,"'Rates and Insurance' page lists in-network plans with unusually specific carve-outs, kept verbatim including the all-caps exclusion on the BayCare line. Also states 'Depending on your current health insurance provider or employee benefit plan, it is possible for services to be covered in full or in part.' and accepts 'cash, check and all major credit cards' alongside insurance. Counseling practice, not ABA."
6800,"Bilingual Speech Therapy of Clearwater, LLC",Clearwater,aetna|molina|sunshine-health,Children Medical Service Health Plan|Simply Healthcare,Step Up,N,https://www.bstcflorida.com/,body copy,MEDIUM,"[trap d] Homepage lists the payers above and states 'We currently accept payments from self-pay clients as well as all of the above insurance companies and scholarship programs.' TRAP D APPLIED: 'Step Up' appears in the same on-site list as the insurers but is Step Up For Students, a Florida scholarship program — moved to scholarships_verbatim, not plans_verbatim. The /pricing page confirms it as a scholarship: 'We accept certain scholarship funds from Step Up and self-pay clients.' Self-pay offered alongside insurance so self_pay_only=N. Two pages contributed: homepage (payer list) and /pricing (scholarship wording)."
6814,C.H.O.O.S.E. Physical Therapy LLC,Clearwater,NO_LIST,,,N,https://choosephysicaltherapy.com/new-patient-forms,none found,MEDIUM,"Homepage and New Patient Forms page loaded. No insurer named anywhere; no insurance page in nav. Only reference is a downloadable form titled 'Billing (Self-Pay, Insurance)' with no explanatory copy and no carrier names."
6878,Center For Positive Change,Clearwater,NO_LIST,,,N,https://www.center4positivechange.com/,none found,MEDIUM,"Thin single-page site (branded 'Inner Peace') with counseling service descriptions and contact info only. No nav links exposed, no insurance/fees page reachable; /fees returned ROBOTS_DISALLOWED (robots.txt failed to parse). No insurer named and no insurance sentence of any kind."
6910,Hope Reconstruction Therapy,Clearwater,NO_LIST,,,N,https://hopereconstruction.com/details,body copy,MEDIUM,"Generic claim only: 'Insurance accepted for counseling and psychotherapy!' and 'Accepting insurance for counseling and psychotherapy' with no carrier named. Also offers sliding scale ('Sliding Scale Therapist No Insurance Mental Health Therapist $75 sessions available') alongside insurance, so not self-pay-only."
8374,"Katie Merricks Counseling, LLC, PHD",Clearwater,aetna|unitedhealthcare,,,N,https://katiemerrickscounseling.com/faqs-1,FAQ,MEDIUM,"FAQ page states 'We DO NOT accept most insurances, with the exception of Aetna and United as detailed below.' Also 'We are considered an ""out of network"" provider, however, most insurance companies are willing to provide some level of reimbursement.' Because Aetna and United/Optum are billed directly, self_pay_only = N. Single Clearwater location, no chain/footer issue."
6741,Learning Independence For Tomorrow - LiFT,Clearwater,NO_LIST,,Family Empowerment Scholarship for Unique Abilities (FES-UA)|FES-EO|FTC|FES Student Scholarships|Step Up for Students,N,https://liftfl.org/,body copy,MEDIUM,"[trap d] LiFT is a school/adult-transition nonprofit, not a billing therapy clinic. Only funding sentence: 'LiFT accepts the Family Empowerment Scholarship for Unique Abilities (FES-UA), FES-EO, FTC, and FES Student Scholarships through Step Up for Students.' Those are Florida scholarships, not insurance — kept out of plans_verbatim. No health insurer named anywhere."
6687,"Maria Dalrymple, MS CCC-SLP",Clearwater,SITE_UNREACHABLE,,,N,,none found,LOW,"3 attempts (http://kidsspeechtherapy.com/, https://kidsspeechtherapy.com/, http://kidsspeechtherapy.com/index.html) all failed with ROBOTS_DISALLOWED — robots.txt fetch ConnectTimeout / failed to parse. Fetcher never rendered a single page, so no content could be read. Likely a host-level bot block or a stalled server rather than a confirmed dead domain."
10397,Stillwater Therapy,Clearwater,NO_LIST,,,N,http://www.stillwater-therapy.com/,none found,MEDIUM,Homepage loaded and names no insurer and makes no insurance statement at all; only a 'Services page' reference and a 'free 15-minute consultation call'. Both attempts at /services (https and http) returned ROBOTS_DISALLOWED — 'All paths disallowed by robots.txt' — so deeper pages could not be read. NO_LIST is based on the one page that did load.
6498,Sunrise Therapy LLC,Clearwater,NO_LIST,,,Y,https://sunrise-therapy.net/booking/,intake page,MEDIUM,"'Forms and Insurance' intake page states 'For all private insurances, Sunrise Therapy is considered to be an out-of-network provider.' and 'Depending on your current plan and company, your insurance may still be billed for reimbursement.' plus 'Please note payment is due the day services are rendered.' Out-of-network only, so self_pay_only = Y. No carrier named anywhere on the page, so plans are NO_LIST."
6884,The Arc Tampa Bay Foundation,Clearwater,NO_LIST,,,N,https://thearctbf.org/,none found,MEDIUM,"The Arc Tampa Bay Foundation is the fundraising foundation arm (events, planned giving, 990s), not a billing service provider. No insurer, Medicaid, waiver or scholarship named anywhere on the homepage, and the nav contains no insurance, funding, billing or intake page at all."
7071,YMCA of the Suncoast Association Office,Clearwater,NO_LIST,,,N,https://www.ymcasuncoast.org/silver,body copy,MEDIUM,"[trap b] YMCA of the Suncoast is a multi-branch association; the row is the Clearwater association office and no branch-level payer page exists. The only 'insurance' page ('Insurance Based AOA', /silver) names Silver Sneakers(R), Renew Active and Silver & Fit - senior fitness benefits bundled with 'many Medicare Plans for adults 65+', not health-insurance coverage for autism/therapy services and not insurer names. No health plan or carrier is named, so NO_LIST."
6780,A-T Childrens Project,Coconut Creek,NO_LIST,,,N,https://atcp.org/,none found,MEDIUM,"A-T Children's Project is a national research/advocacy nonprofit for Ataxia-Telangiectasia, not a treatment provider that bills. No insurer named anywhere on the homepage and no insurance, billing, funding or intake page in the full nav or footer."
6535,Abundant Abilities,Coconut Creek,NO_LIST,,,N,http://www.abundantabilities.net/,none found,MEDIUM,"Homepage loaded: intro copy, service offerings and owner bios only. No insurer, no scholarship, and no insurance/payment sentence of any kind. No nav links exposed in the rendered page (likely JS-driven menu); https://abundantabilities.net/ (DNS: Name or service not known) and /insurance both failed robots.txt, so deeper pages could not be checked. NO_LIST is based on the homepage that did load."
6810,Acorn & Oak Speech Therapy,Coconut Creek,SITE_UNREACHABLE,,,N,,none found,LOW,"3 attempts (https://acornoaktherapy.com/, https://www.acornoaktherapy.com/, https://acornoaktherapy.com/insurance) all failed with ROBOTS_DISALLOWED - robots.txt returned HTTP 202 / failed to parse. Host answers with a 202 challenge instead of a real robots.txt, i.e. a bot-block (Cloudflare-style interstitial); no page content was ever rendered."
7028,Creative Minds ABA Services Inc.,Coconut Creek,NO_LIST,,,N,https://www.creativemindsfla.com/general-5,FAQ,MEDIUM,"Homepage names no insurers. FAQ says only: ""Yes, we work with various insurance providers. Contact us to verify your coverage and discuss payment options."" No carrier named anywhere. FAQ separately notes Home Care is private pay only, but ABA works with insurance, so self_pay_only=N."
6633,Find Peace by Piece,Coconut Creek,NO_LIST,,,N,https://findpeacebypiece.com/,none found,MEDIUM,"Homepage loads but renders almost no extractable content (likely JS-only single-page site); no insurer, no scholarship, no insurance sentence at all. /insurance/ and /services/ both returned 404. 3 attempts used."
8954,"The Foundation for Independent Living, Inc.",Coconut Creek,NO_LIST,,,Y,https://filinc.org/admissions/,intake page,MEDIUM,"Admissions page states twice: ""Please note that FIL is private pay only. We do not accept insurance, Medicaid, etc."" Residential/employment services org, not a billing ABA clinic."
9094,Williamsburg Therapy Group Miami,Coconut Grove,NO_LIST,,,Y,https://www.williamsburgtherapygroup.com/miami-fl,body copy (Miami location page) + insurance page (/in-network-care),MEDIUM,"[trap b] Multi-state chain (Brooklyn, Austin, Miami, Chicago). Location-specific Miami page states: ""Williamsburg Therapy Group is an Out-Of-Network Provider"" and ""We provide superbills that many clients use to seek reimbursement through their out-of-network benefits."" The site-wide /in-network-care page names Aetna and UHC (billed through Headway) but explicitly says ""in-network sessions are currently only available for Brooklyn patients"" - that list does NOT apply to the Miami row, so NO_LIST here. self_pay_only=Y (out-of-network only for Miami)."
6538,Stacey Hoaglund,Cooper City,NO_LIST,,,N,https://staceyhoaglund.com/healthcare-advocacy/,none found,MEDIUM,"Solo parent/patient advocate site (education + healthcare advocacy), not a billing ABA clinic. No insurer named and no insurance/fee/private-pay sentence anywhere on home or healthcare-advocacy page."
8952,Acorn Health ABA Therapy - Coral Gables,Coral Gables,florida-medicaid|aetna|cigna|florida-blue|unitedhealthcare|tricare,Anthem|CHAMPVA,,N,https://acornhealth.com/locations/coral-gables-fl/,insurance page (acornhealth.com/insurance/) + intake form dropdown on the Coral Gables location page,MEDIUM,"ANTHEM SIGHTING - Anthem does not operate in Florida, so this reads as a national brand strip rather than a verified Florida panel; confidence lowered. [trap b,c] Multi-state chain (FL, MI, VA, IL, MD, PA, TN). The identical carrier list appears in a site-wide intake-form dropdown rendered on both /insurance/ and the Coral Gables location page - it is one company-wide claim, not a Coral Gables-specific contract. ANTHEM SIGHTING: Anthem does not operate in Florida, confirming this is a national brand list rather than a Florida panel. Site explicitly disclaims: ""We are in contract with many commercial insurance companies, and we also accept Medicaid in some states, but our contracts do vary state-by-state"" and ""We accept most major insurance carriers, but ABA benefit coverage can vary."" Coral Gables page adds only ""We accept most health insurance plans for assessment and ongoing treatment."""
7306,Beans Behavior Analysis Services,Coral Gables,florida-medicaid,Commercial Insurances|Out of Pocket,,N,https://www.beansbehavior.com/,FAQ,MEDIUM,"Wix one-pager. FAQ ""What are my Financial Options?"" answers verbatim: ""Commercial Insurances, Florida Medicaid, or Out of Pocket. Provider availability is often case-by-case and explored in the first consultation."" Only ""Florida Medicaid"" is an actual named payer; ""Commercial Insurances"" and ""Out of Pocket"" are categories, kept verbatim as printed. No insurer logos or brand names anywhere. /resources page has no payment content."
6888,Blossom Behavior Therapy,Coral Gables,NO_LIST,,,N,http://www.blossombehaviortherapy.com/,none found,MEDIUM,"BOT-BLOCK: homepage loads and its nav contains a page literally titled ""Insurances & Scholarships"" (https://www.blossombehaviortherapy.com/insurances-we-work-with), but that page returned HTTP 429 on three separate attempts (Wix rate-limit/bot-block), so no plan or scholarship name could be read and none is printed on the homepage. A list almost certainly exists on that URL - worth a manual re-check."
5838,Developmental Applied Behavior Solutions,Coral Gables,NO_LIST,,,N,http://appliedbhs.com/,none found,MEDIUM,"Single-page marketing site for Developmental Applied Behavior Solutions (DABS). No insurer, no scholarship, no payment/fee/insurance sentence anywhere - not even a generic 'we accept insurance' line. /insurance returned ROBOTS_DISALLOWED. 3 attempts used."
6582,"Health of Mind, Inc",Coral Gables,NO_LIST,,,N,https://healthofmind.net/,none found,MEDIUM,"www host blocked twice on robots.txt (HTTP 202 / unparseable robots); non-www https loaded on the 3rd attempt. Thin one-page site - CTA buttons only ('Call us today', 'Get Started', 'Join Us'), no insurer named and no insurance sentence at all."
